cluster,gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,region
GE-RG-2,NAV2,0.0,2.79567550218598,0.704,0.108,0.0,GE
GE-RG-2,TNC,0.0,2.69478890579518,0.528,0.069,0.0,GE
GE-RG-2,SPATA6,0.0,2.66000382753253,0.582,0.058,0.0,GE
GE-RG-2,NCKAP5,0.0,2.6012871933465,0.909,0.353,0.0,GE
GE-RG-3,RGS6,0.0,3.3359947729566,0.93,0.071,0.0,GE
GE-RG-3,GLI3,0.0,3.22821713305017,0.977,0.127,0.0,GE
GE-RG-3,SHROOM3,0.0,3.14223490105524,0.997,0.142,0.0,GE
GE-RG-3,IQGAP2,0.0,3.1293408362515,0.963,0.102,0.0,GE
GE-RG-3,EEPD1,0.0,2.94381618989906,0.907,0.077,0.0,GE
GE-RG-3,LINC01965,0.0,2.93662934334946,0.813,0.031,0.0,GE
GE-RG-3,FSTL5,0.0,2.75134244295615,0.98,0.153,0.0,GE
GE-RG-3,SAMD4A,0.0,2.64784099111511,0.94,0.111,0.0,GE
GE-RG-3,DOK5,0.0,2.56404569238189,0.907,0.066,0.0,GE
GE-RG-3,LTBP1,0.0,2.55999855425893,0.947,0.121,0.0,GE
GE-RG-3,LIPG,0.0,2.49341933991536,0.953,0.097,0.0,GE
GE-RG-3,LIMCH1,0.0,2.38406002913178,0.927,0.102,0.0,GE
GE-RG-3,MAST4,0.0,2.32429730297885,0.773,0.06,0.0,GE
GE-RG-3,GLIS3,0.0,2.27440009523821,0.76,0.059,0.0,GE
GE-RG-3,DNAI1,0.0,2.24446083413002,0.78,0.045,0.0,GE
GE-RG-3,PRDM16,0.0,2.20971313635335,0.95,0.106,0.0,GE
GE-RG-3,LUCAT1,0.0,2.14928811235255,0.903,0.117,0.0,GE
GE-RG-3,TMEM163,0.0,2.10218107744706,0.757,0.059,0.0,GE
GE-RG-3,ANKFN1,0.0,2.10010807869876,0.943,0.109,0.0,GE
GE-RG-3,CCN1,0.0,2.06043541099472,0.537,0.014,0.0,GE
